Instance,Algorithm,Run,Best,Worst,Avg,Std,pop_size,gen,Px,Pm,tournament,Elitism,cooling,innerLoop
a-n32-k5.vrp,ga,1,888.1440,1539.9590,1132.0338,137.9738,200,17,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.0835,1497.4375,1159.6013,123.5510,200,14,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,889.9745,1423.1810,1059.9910,111.2457,200,14,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,888.1440,1527.4563,1142.9471,146.5542,200,18,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,851.4135,1502.6523,1118.6348,160.7698,200,17,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1543.2611,1139.7622,166.1156,200,22,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,889.9745,1402.5876,1063.6201,118.7754,200,15,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,968.1091,1634.4733,1170.9358,137.4556,200,8,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,851.4135,1572.6580,1089.0269,151.1122,200,18,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1596.9760,1146.5164,166.2216,200,23,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.0835,1599.2943,1147.0265,127.7283,200,15,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,851.4135,1465.6216,1080.8151,162.5846,200,19,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1551.5560,1128.5948,160.9534,200,24,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,966.1029,1469.0830,1144.6550,132.0430,200,9,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.0835,1543.6407,1147.7804,123.3108,200,16,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1675.9590,1133.5632,166.5379,200,25,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,872.0456,1444.9142,1093.3723,152.2949,200,21,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,955.4672,1545.3087,1169.1539,138.0051,200,10,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.0835,1520.4629,1135.0887,127.4431,200,17,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1532.5164,1130.7258,155.6743,200,26,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,872.0456,1459.3885,1083.4663,145.7302,200,22,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,851.4135,1451.2136,1100.1113,156.9382,200,20,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,955.4672,1604.4095,1158.2130,141.0970,200,11,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1664.8835,1143.1400,155.0605,200,21,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.0835,1449.1683,1155.6505,111.3604,200,18,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1504.6013,1120.8395,160.3207,200,27,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1502.1074,1136.6731,141.9540,200,22,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,865.9263,1473.3584,1083.9717,147.3113,200,23,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,889.9745,1477.3727,1076.0729,125.5684,200,16,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,851.4135,1396.3511,1093.5262,159.8054,200,21,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1530.2401,1122.0898,165.9732,200,28,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1830.4629,1143.7205,158.3906,200,23,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,865.9263,1571.7854,1073.0745,154.4715,200,24,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,887.9683,1387.8820,1069.9768,123.1116,200,17,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,851.4135,1567.4895,1079.7231,157.4899,200,22,0.9000,0.0500,10,10,0.0000,0
